Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Dog,Bulldog,0.4,Female,13.9,Lethargy,Fever,Dehydration,Vomiting,7 days,Yes,Yes,Yes,No,No,No,No,No,No,39.7°C,140.0,Parvovirus
Dog,Dalmatian,5.4,Female,54.77,Coughing,Diarrhea,Fever,Eye_Discharge,13 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,39.9°C,124.47,Canine Distemper
Dog,Rottweiler,5.9,Male,66.7,Lethargy,Labored Breathing,Eye Discharge,Vomiting,14 days,Yes,Yes,Yes,No,No,No,Yes,No,No,39.1°C,116.0,Gastroenteritis
Dog,Border Collie,3.7,Male,8.0,Coughing,Skin Lesions,Vomiting,Nasal_Discharge,6 days,Yes,Yes,No,Yes,Yes,No,No,No,No,38.8°C,97.0,Canine Distemper
Dog,Bulldog,12.95,Male,19.89,Difficulty Rising,<missing>,Reluctance To Play,Stiffness,10 days,Yes,No,Yes,No,No,Yes,No,No,No,38.8°C,130.38,Arthritis
Dog,Corgi,5.61,Male,24.57,Coughing,Anorexia,Nasal_Discharge,Vomiting,12 days,Yes,No,Yes,Yes,Yes,No,No,No,Yes,39.8°C,84.24,Canine Distemper
Dog,Husky,3.85,Female,6.56,Labored Breathing,Lethargy,Coughing,Appetite Loss,6 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.3°C,137.72,Canine Flu
Dog,Cocker Spaniel,3.0,Female,34.2,Nasal_Discharge,Coughing,Skin Lesions,Coughing,7 days,No,No,Yes,Yes,Yes,No,No,Yes,No,38.3°C,72.0,Kennel Cough
Dog,Golden Retriever,6.52,Male,28.92,Lethargy,Diarrhea,Loss Of Appetite,Vomiting,6 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5°C,127.73,Canine Parvovirus
Dog,Doberman Pinscher,6.1,Female,35.83,Persistent Cough,<missing>,Fever,Lethargy,19 days,Yes,No,No,Yes,No,No,No,No,No,39.8°C,102.01,Canine Influenza
Dog,Chihuahua,9.0,Male,2.0,Vomiting,Loss Of Appetite,Diarrhea,Lethargy,2 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1°C,128.0,Gastroenteritis
Dog,Labrador,3.4,Male,28.4,Eye Discharge,Lameness,Weakness,Vomiting,4 days,Yes,No,No,No,No,Yes,Yes,No,No,38.5°C,78.0,Lyme Disease
Dog,Golden Retriever,5.1,Female,16.6,Fever,Vomiting,Abdominal Pain,Jaundice,12 days,Yes,Yes,No,No,No,No,,,,40.2,107.0,Canine Hepatitis
